EF_W_FACILITY_OVERVIEW.FACILITY_NAME,EF_W_FACILITY_OVERVIEW.FACILITY_ID,EF_W_FACILITY_OVERVIEW.REPORTING_YEAR,EF_W_FACILITY_OVERVIEW.TABLE_NUM,EF_W_FACILITY_OVERVIEW.TABLE_DESC,EF_W_FACILITY_OVERVIEW.INDUSTRY_SEGMENT,EF_W_FACILITY_OVERVIEW.BASIN_ASSOCIATED_WITH_FACILITY,EF_W_FACILITY_OVERVIEW.GAS_PROD_CAL_YEAR_FROM_WELLS,EF_W_FACILITY_OVERVIEW.GAS_PROD_CAL_YEAR_FOR_SALES,EF_W_FACILITY_OVERVIEW.OIL_PROD_CAL_YEAR_FOR_SALES,EF_W_FACILITY_OVERVIEW.SUB_BASIN_COUNTY,EF_W_FACILITY_OVERVIEW.SUB_BASIN_FORMATION_TYPE,EF_W_FACILITY_OVERVIEW.SUB_BASIN_IDENTIFIER,EF_W_FACILITY_OVERVIEW.API_GRAVITY,EF_W_FACILITY_OVERVIEW.GAS_OIL_WELL_RATIO,EF_W_FACILITY_OVERVIEW.AVERAGE_LOW_PRESSURE,EF_W_FACILITY_OVERVIEW.WELL_PRODUCING_END_OF_YEAR,EF_W_FACILITY_OVERVIEW.PRODUCING_WELLS_ACQUIRED,EF_W_FACILITY_OVERVIEW.PRODUCING_WELLS_DIVESTED,EF_W_FACILITY_OVERVIEW.WELLS_COMPLETED,EF_W_FACILITY_OVERVIEW.WELL_REMOVED_FROM_PRODUCTION,EF_W_FACILITY_OVERVIEW.CH4_AVERAGE_MOLE_FRACTION,EF_W_FACILITY_OVERVIEW.CO2_AVERAGE_MOLE_FRACTION,EF_W_FACILITY_OVERVIEW.QUANTITY_OF_GAS_HANDLED,EF_W_FACILITY_OVERVIEW.QUANTITY_OF_OIL_HANDLED,EF_W_FACILITY_OVERVIEW.FRACTIONATE_NGL,EF_W_FACILITY_OVERVIEW.NUMBER_OF_COMPRESSORS,EF_W_FACILITY_OVERVIEW.COMPRESSOR_POWER_RATING,EF_W_FACILITY_OVERVIEW.QUANTITY_OF_GAS_INJECTED,EF_W_FACILITY_OVERVIEW.QUANTITY_OF_GAS_WITHDRAWN,EF_W_FACILITY_OVERVIEW.TOTAL_STORAGE_CAPACITY,EF_W_FACILITY_OVERVIEW.QUANTITY_IMPORTED,EF_W_FACILITY_OVERVIEW.QUANTITY_EXPORTED,EF_W_FACILITY_OVERVIEW.QUANTITY_LNG_ADDED,EF_W_FACILITY_OVERVIEW.QUANTITY_LNG_WITHDRAWN,EF_W_FACILITY_OVERVIEW.QUANTITY_GAS_RECEIVED,EF_W_FACILITY_OVERVIEW.QUANTITY_GAS_WITHDRAWN,EF_W_FACILITY_OVERVIEW.QUANTITY_GAS_ADDED,EF_W_FACILITY_OVERVIEW.QUANTITY_GAS_DELIVERED,EF_W_FACILITY_OVERVIEW.QUANTITY_GAS_TRANSFERRED,EF_W_FACILITY_OVERVIEW.QUANTITY_GAS_CONSUMED,EF_W_FACILITY_OVERVIEW.QUANTITY_GAS_STOLEN,EF_W_FACILITY_OVERVIEW.QUANT_GAS_TRANSPORTED_GB,EF_W_FACILITY_OVERVIEW.QUANT_HC_LIQ_RECD,EF_W_FACILITY_OVERVIEW.QUANT_HC_LIQ_TRANS,EF_W_FACILITY_OVERVIEW.US_STATE,EF_W_FACILITY_OVERVIEW.MILES_OF_TRANS_PIPE,EF_W_FACILITY_OVERVIEW.MISSING_DATA_PROC_USED
ConocoPhillips Alaska Inc - KRU-ALP Fields,1008111,2020,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],890 - Arctic Coastal Plains Province,0,0,54096013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
MurphyE&P-220,1008113,2020,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],220 - Gulf Coast Basin (LA  TX),23964345,18967392,13457470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
XTO Energy Inc 160A Appalachian E Overthrust,1008116,2020,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],160A - Appalachian Basin (Eastern Overthrust Area),176579920.4056,176579920.4056,80174.6947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
Ovintiv USA Inc. 350.South Oklahoma Folded Belt,1008134,2020,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],350 - South Oklahoma Folded Belt,65504147.35,64819527.32,2462186.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
Oxy Permian Basin - 430,1008141,2020,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],430 - Permian Basin,336813844.6100008,331339758.21,122265102.2059997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
Berry Petroleum Company - San Joaquin Basin 745,1008163,2020,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],745 - San Joaquin Basin,1787789,0,8537805.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
Berry Petroleum Company 585 Piceance Basin Production Segment,1008165,2020,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],595 - Piceance Basin,4453793,4453793,10904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
Berry Petroleum Company - Uinta Basin 575,1008167,2020,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],575 - Uinta Basin,7657510,7477771.6258824,983598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
Dominion Energy Wexpro - Central Western Overthrust (Prod),1008170,2020,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],507 - Central Western Overthrust,7496002.6,7192334,27273.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
Hilcorp North Slope  890 - Arctic Slope Basin,1008172,2020,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],890 - Arctic Coastal Plains Province,174533142,5413975,78562800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
Marathon Oil Corporation Williston Basin  AAPG Basin 395,1008173,2020,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],395 - Williston Basin,61566297.96,44268973.11,36504275.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
